dtag,nbin,pileup
MC2016_Summer16_QCD_HT-1000-1500_,9,1024.58
MC2016_Summer16_QCD_HT-1000-1500_,10,3699.85
MC2016_Summer16_QCD_HT-1000-1500_,11,11870.3
MC2016_Summer16_QCD_HT-1000-1500_,12,31509.1
MC2016_Summer16_QCD_HT-1000-1500_,13,67900.8
MC2016_Summer16_QCD_HT-1000-1500_,14,112713
MC2016_Summer16_QCD_HT-1000-1500_,15,161065
MC2016_Summer16_QCD_HT-1000-1500_,16,196857
MC2016_Summer16_QCD_HT-1000-1500_,17,218167
MC2016_Summer16_QCD_HT-1000-1500_,18,259989
MC2016_Summer16_QCD_HT-1000-1500_,19,275834
MC2016_Summer16_QCD_HT-1000-1500_,20,319499
MC2016_Summer16_QCD_HT-1000-1500_,21,296734
MC2016_Summer16_QCD_HT-1000-1500_,22,282362
MC2016_Summer16_QCD_HT-1000-1500_,23,282307
MC2016_Summer16_QCD_HT-1000-1500_,24,284914
MC2016_Summer16_QCD_HT-1000-1500_,25,262033
MC2016_Summer16_QCD_HT-1000-1500_,26,260477
MC2016_Summer16_QCD_HT-1000-1500_,27,211933
MC2016_Summer16_QCD_HT-1000-1500_,28,187653
MC2016_Summer16_QCD_HT-1000-1500_,29,139858
MC2016_Summer16_QCD_HT-1000-1500_,30,109637
MC2016_Summer16_QCD_HT-1000-1500_,31,83060.2
MC2016_Summer16_QCD_HT-1000-1500_,32,60198.6
MC2016_Summer16_QCD_HT-1000-1500_,33,56799.9
MC2016_Summer16_QCD_HT-1000-1500_,34,48506.1
MC2016_Summer16_QCD_HT-1000-1500_,35,57684.3
MC2016_Summer16_QCD_HT-1000-1500_,36,79705.2
MC2016_Summer16_QCD_HT-1000-1500_,37,148316
MC2016_Summer16_QCD_HT-1000-1500_,38,181595
MC2016_Summer16_QCD_HT-1000-1500_,39,0
MC2016_Summer16_QCD_HT-1000-1500_,40,0
MC2016_Summer16_QCD_HT-1000-1500_,41,0
MC2016_Summer16_QCD_HT-1000-1500_,42,0
MC2016_Summer16_QCD_HT-1000-1500_,43,0
MC2016_Summer16_QCD_HT-1000-1500_,44,0
MC2016_Summer16_QCD_HT-1000-1500_,45,0
MC2016_Summer16_QCD_HT-1000-1500_,46,0
MC2016_Summer16_QCD_HT-1000-1500_,47,0
MC2016_Summer16_QCD_HT-1000-1500_,48,0
MC2016_Summer16_QCD_HT-1000-1500_,49,0
MC2016_Summer16_QCD_HT-1000-1500_,50,0
MC2016_Summer16_QCD_HT-1000-1500_,51,0
MC2016_Summer16_QCD_HT-1000-1500_,52,0
MC2016_Summer16_QCD_HT-1000-1500_,53,0
MC2016_Summer16_QCD_HT-1000-1500_,54,0
MC2016_Summer16_QCD_HT-1000-1500_,55,0
MC2016_Summer16_QCD_HT-1000-1500_,56,0
MC2016_Summer16_QCD_HT-1000-1500_,57,0
MC2016_Summer16_QCD_HT-1000-1500_,58,0
MC2016_Summer16_QCD_HT-1000-1500_,59,0
MC2016_Summer16_QCD_HT-1000-1500_,60,0
MC2016_Summer16_QCD_HT-1000-1500_,61,0
MC2016_Summer16_QCD_HT-1000-1500_,62,0
MC2016_Summer16_QCD_HT-1000-1500_,63,0
MC2016_Summer16_QCD_HT-1000-1500_,64,0
MC2016_Summer16_QCD_HT-1000-1500_,65,0
MC2016_Summer16_QCD_HT-1000-1500_,66,0
MC2016_Summer16_QCD_HT-1000-1500_,67,0
MC2016_Summer16_QCD_HT-1000-1500_,68,0
MC2016_Summer16_QCD_HT-1000-1500_,69,0
MC2016_Summer16_QCD_HT-1000-1500_,70,0
MC2016_Summer16_QCD_HT-1000-1500_,71,0
MC2016_Summer16_QCD_HT-1000-1500_,72,0
MC2016_Summer16_QCD_HT-1000-1500_,73,0
MC2016_Summer16_QCD_HT-1000-1500_,74,0
MC2016_Summer16_QCD_HT-1000-1500_,75,0
MC2016_Summer16_QCD_HT-1000-1500_,76,0
MC2016_Summer16_QCD_HT-1000-1500_,77,0
MC2016_Summer16_QCD_HT-1000-1500_,78,0
MC2016_Summer16_QCD_HT-1000-1500_,79,0
MC2016_Summer16_QCD_HT-1000-1500_,80,0
MC2016_Summer16_QCD_HT-1000-1500_,81,0
MC2016_Summer16_QCD_HT-1000-1500_,82,0
MC2016_Summer16_QCD_HT-1000-1500_,83,0
MC2016_Summer16_QCD_HT-1000-1500_,84,0
MC2016_Summer16_QCD_HT-1000-1500_,85,0
MC2016_Summer16_QCD_HT-1000-1500_,86,0
MC2016_Summer16_QCD_HT-1000-1500_,87,0
MC2016_Summer16_QCD_HT-1000-1500_,88,0
MC2016_Summer16_QCD_HT-1000-1500_,89,0
MC2016_Summer16_QCD_HT-1000-1500_,90,0
MC2016_Summer16_QCD_HT-1000-1500_,91,0
MC2016_Summer16_QCD_HT-1000-1500_,92,0
MC2016_Summer16_QCD_HT-1000-1500_,93,0
MC2016_Summer16_QCD_HT-1000-1500_,94,0
MC2016_Summer16_QCD_HT-1000-1500_,95,0
MC2016_Summer16_QCD_HT-1000-1500_,96,0
MC2016_Summer16_QCD_HT-1000-1500_,97,0
MC2016_Summer16_QCD_HT-1000-1500_,98,0
MC2016_Summer16_QCD_HT-1000-1500_,99,0
MC2016_Summer16_QCD_HT-1000-1500_,100,0
MC2016_Summer16_QCD_HT-1000-1500_,101,0
MC2016_Summer16_QCD_HT-1000-1500_,102,0
MC2016_Summer16_QCD_HT-1500-2000_,0,0
MC2016_Summer16_QCD_HT-1500-2000_,1,0.0141408
MC2016_Summer16_QCD_HT-1500-2000_,2,1.14774
MC2016_Summer16_QCD_HT-1500-2000_,3,3.1729
MC2016_Summer16_QCD_HT-1500-2000_,4,7.85679
MC2016_Summer16_QCD_HT-1500-2000_,5,16.1138
MC2016_Summer16_QCD_HT-1500-2000_,6,17.0488
MC2016_Summer16_QCD_HT-1500-2000_,7,30.7733
MC2016_Summer16_QCD_HT-1500-2000_,8,199.31
MC2016_Summer16_QCD_HT-1500-2000_,9,840.76
MC2016_Summer16_QCD_HT-1500-2000_,10,3043.44
MC2016_Summer16_QCD_HT-1500-2000_,11,9836.72
MC2016_Summer16_QCD_HT-1500-2000_,12,26303.1
MC2016_Summer16_QCD_HT-1500-2000_,13,56831.6
MC2016_Summer16_QCD_HT-1500-2000_,14,94306.3
MC2016_Summer16_QCD_HT-1500-2000_,15,133725
MC2016_Summer16_QCD_HT-1500-2000_,16,163883
MC2016_Summer16_QCD_HT-1500-2000_,17,182029
MC2016_Summer16_QCD_HT-1500-2000_,18,216870
MC2016_Summer16_QCD_HT-1500-2000_,19,230858
MC2016_Summer16_QCD_HT-1500-2000_,20,266217
MC2016_Summer16_QCD_HT-1500-2000_,21,245909
MC2016_Summer16_QCD_HT-1500-2000_,22,234703
MC2016_Summer16_QCD_HT-1500-2000_,23,235533
MC2016_Summer16_QCD_HT-1500-2000_,24,237498
