i_bin,x,y,z, hj_w_jets_bin,hj_w_tau_jets_bin, hj_q_jets_bin,hj_q_tau_jets_bin, hjm_w_jets_bin,hjm_w_tau_jets_bin, hjm_q_jets_bin,hjm_q_tau_jets_bin
649, 14.5,2.25,0.1035, 0,0,0,0, 0,0,0,0
602, 31,-2.25,0.1035, 0,0,0,0, 0,0,0,0
614, 31,-0.975,0.1035, 0,0,0,0, 0,0,0,0
626, 31,0,0.1035, 0,0,0,0, 0,0,0,0
638, 31,0.975,0.1035, 0,0,0,0, 0,0,0,0
650, 31,2.25,0.1035, 0,0,0,0, 0,0,0,0
603, 35,-2.25,0.1035, 0,0,0,0, 0,0,0,0
615, 35,-0.975,0.1035, 0,0,2,0, 0,0,0,0
627, 35,0,0.1035, 0,0,0,0, 0,0,0,0
639, 35,0.975,0.1035, 0,0,0,0, 0,0,0,0
651, 35,2.25,0.1035, 0,0,0,0, 0,0,0,0
604, 38.5,-2.25,0.1035, 0,0,0,0, 0,0,0,0
616, 38.5,-0.975,0.1035, 0,0,0,0, 0,0,0,0
628, 38.5,0,0.1035, 0,0,0,0, 0,0,0,0
640, 38.5,0.975,0.1035, 0,0,0,0, 0,0,0,0
652, 38.5,2.25,0.1035, 0,0,1,0, 0,0,0,0
605, 41.5,-2.25,0.1035, 0,0,0,0, 0,0,0,0
617, 41.5,-0.975,0.1035, 0,0,0,0, 0,0,0,0
629, 41.5,0,0.1035, 0,0,1,0, 0,0,0,0
641, 41.5,0.975,0.1035, 0,0,0,0, 0,0,0,0
653, 41.5,2.25,0.1035, 0,0,0,0, 0,0,0,0
606, 44,-2.25,0.1035, 0,0,0,0, 0,0,0,0
618, 44,-0.975,0.1035, 0,0,0,0, 0,0,0,0
630, 44,0,0.1035, 0,0,0,0, 0,0,0,0
642, 44,0.975,0.1035, 0,0,0,0, 0,0,0,0
654, 44,2.25,0.1035, 0,0,0,0, 0,0,0,0
607, 46.5,-2.25,0.1035, 0,0,0,0, 0,0,0,0
619, 46.5,-0.975,0.1035, 0,0,1,0, 0,0,0,0
631, 46.5,0,0.1035, 0,0,0,0, 0,0,0,0
643, 46.5,0.975,0.1035, 0,0,0,0, 0,0,0,0
655, 46.5,2.25,0.1035, 0,0,0,0, 0,0,0,0
608, 52,-2.25,0.1035, 0,0,0,0, 0,0,0,0
620, 52,-0.975,0.1035, 0,0,0,0, 0,0,0,0
632, 52,0,0.1035, 0,0,1,0, 0,0,0,0
644, 52,0.975,0.1035, 0,0,0,0, 1,0,1,0
656, 52,2.25,0.1035, 0,0,0,0, 0,0,0,0
609, 59.5,-2.25,0.1035, 0,0,0,0, 0,0,1,0
621, 59.5,-0.975,0.1035, 0,0,0,0, 0,0,0,0
633, 59.5,0,0.1035, 0,0,0,0, 0,0,0,0
645, 59.5,0.975,0.1035, 0,0,1,0, 0,0,0,0
657, 59.5,2.25,0.1035, 0,0,0,0, 0,0,1,0
610, 281.5,-2.25,0.1035, 0,0,4,0, 1,0,1,0
622, 281.5,-0.975,0.1035, 0,0,7,0, 1,0,0,0
634, 281.5,0,0.1035, 0,0,6,0, 1,0,1,0
646, 281.5,0.975,0.1035, 0,0,4,0, 0,0,0,0
658, 281.5,2.25,0.1035, 0,0,0,0, 0,0,0,0
685, 14.5,-2.25,0.11, 0,0,0,0, 0,0,0,0
697, 14.5,-0.975,0.11, 0,0,0,0, 0,0,0,0
709, 14.5,0,0.11, 0,0,0,0, 0,0,0,0
721, 14.5,0.975,0.11, 0,0,0,0, 0,0,0,0
733, 14.5,2.25,0.11, 0,0,0,0, 0,0,0,0
686, 31,-2.25,0.11, 0,0,0,0, 0,0,0,0
698, 31,-0.975,0.11, 0,0,0,0, 0,0,0,0
710, 31,0,0.11, 0,0,0,0, 0,0,0,0
722, 31,0.975,0.11, 0,0,1,0, 1,0,1,0
734, 31,2.25,0.11, 0,0,0,0, 0,0,0,0
687, 35,-2.25,0.11, 0,0,0,0, 0,0,0,0
699, 35,-0.975,0.11, 0,0,0,0, 0,0,0,0
711, 35,0,0.11, 0,0,0,0, 0,0,0,0
723, 35,0.975,0.11, 0,0,0,0, 0,0,1,0
735, 35,2.25,0.11, 0,0,0,0, 0,0,0,0
688, 38.5,-2.25,0.11, 0,0,0,0, 0,0,0,0
700, 38.5,-0.975,0.11, 0,0,0,0, 0,0,1,0
712, 38.5,0,0.11, 0,0,0,0, 0,0,0,0
724, 38.5,0.975,0.11, 0,0,0,0, 0,0,0,0
736, 38.5,2.25,0.11, 0,0,0,0, 1,0,0,0
689, 41.5,-2.25,0.11, 0,0,0,0, 0,0,0,0
701, 41.5,-0.975,0.11, 0,0,0,0, 0,0,0,0
713, 41.5,0,0.11, 0,0,1,0, 0,0,1,0
725, 41.5,0.975,0.11, 0,0,1,0, 0,0,0,0
737, 41.5,2.25,0.11, 0,0,0,0, 1,1,0,0
690, 44,-2.25,0.11, 0,0,0,0, 0,0,0,0
702, 44,-0.975,0.11, 0,0,0,0, 0,0,0,0
714, 44,0,0.11, 0,0,0,0, 0,0,0,0
726, 44,0.975,0.11, 0,0,0,0, 0,0,0,0
738, 44,2.25,0.11, 0,0,0,0, 0,0,0,0
691, 46.5,-2.25,0.11, 0,0,0,0, 0,0,0,0
703, 46.5,-0.975,0.11, 0,0,0,0, 0,0,0,0
715, 46.5,0,0.11, 0,0,1,0, 0,0,0,0
727, 46.5,0.975,0.11, 0,0,0,0, 0,0,0,0
739, 46.5,2.25,0.11, 0,0,0,0, 0,0,0,0
692, 52,-2.25,0.11, 0,0,1,0, 0,0,0,0
704, 52,-0.975,0.11, 0,0,0,0, 0,0,0,0
716, 52,0,0.11, 0,0,0,0, 0,0,1,0
728, 52,0.975,0.11, 0,0,1,0, 0,0,0,0
740, 52,2.25,0.11, 0,0,0,0, 0,0,0,0
693, 59.5,-2.25,0.11, 0,0,0,0, 0,0,0,0
705, 59.5,-0.975,0.11, 0,0,0,0, 0,0,0,0
717, 59.5,0,0.11, 0,0,0,0, 1,0,1,0
729, 59.5,0.975,0.11, 0,0,1,0, 0,0,0,0
741, 59.5,2.25,0.11, 0,0,0,0, 0,0,0,0
694, 281.5,-2.25,0.11, 0,0,2,0, 0,0,0,0
706, 281.5,-0.975,0.11, 0,0,2,0, 1,0,2,0
718, 281.5,0,0.11, 0,0,5,0, 1,0,1,0
730, 281.5,0.975,0.11, 0,0,5,0, 0,0,0,0
742, 281.5,2.25,0.11, 0,0,1,0, 1,0,1,0
769, 14.5,-2.25,0.1165, 0,0,0,0, 0,0,0,0
781, 14.5,-0.975,0.1165, 0,0,0,0, 0,0,0,0
793, 14.5,0,0.1165, 0,0,0,0, 0,0,0,0
805, 14.5,0.975,0.1165, 0,0,0,0, 0,0,0,0
817, 14.5,2.25,0.1165, 0,0,0,0, 0,0,0,0
770, 31,-2.25,0.1165, 0,0,0,0, 0,0,0,0
782, 31,-0.975,0.1165, 0,0,2,0, 0,0,1,0
794, 31,0,0.1165, 0,0,0,0, 0,0,0,0
