i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
871, 46.5,-0.975,0.1235, 8525,78, 31954,134
883, 46.5,0,0.1235, 8818,76, 28138,95
895, 46.5,0.975,0.1235, 8837,81, 30942,124
907, 46.5,2.25,0.1235, 6075,63, 20825,86
860, 52,-2.25,0.1235, 13921,110, 43547,176
872, 52,-0.975,0.1235, 20400,117, 66171,204
884, 52,0,0.1235, 20922,129, 58402,182
896, 52,0.975,0.1235, 20683,155, 64225,208
908, 52,2.25,0.1235, 13704,131, 42839,192
861, 59.5,-2.25,0.1235, 9551,44, 26115,82
873, 59.5,-0.975,0.1235, 15038,68, 40108,101
885, 59.5,0,0.1235, 15003,46, 36385,66
897, 59.5,0.975,0.1235, 15257,57, 39778,90
909, 59.5,2.25,0.1235, 9424,67, 25241,100
862, 281.5,-2.25,0.1235, 36519,73, 74205,114
874, 281.5,-0.975,0.1235, 63776,82, 125140,142
886, 281.5,0,0.1235, 60871,74, 115197,116
898, 281.5,0.975,0.1235, 64155,87, 123220,131
910, 281.5,2.25,0.1235, 34534,89, 71667,132
937, 14.5,-2.25,0.13, 41907,55, 68905,89
949, 14.5,-0.975,0.13, 43916,214, 80196,323
961, 14.5,0,0.13, 44945,361, 88149,467
973, 14.5,0.975,0.13, 44111,244, 82497,369
985, 14.5,2.25,0.13, 40917,64, 68597,99
938, 31,-2.25,0.13, 13072,127, 38555,196
950, 31,-0.975,0.13, 15603,226, 76307,336
962, 31,0,0.13, 15442,209, 72058,330
974, 31,0.975,0.13, 15665,237, 77047,371
986, 31,2.25,0.13, 12845,175, 41606,211
939, 35,-2.25,0.13, 11491,152, 50909,220
951, 35,-0.975,0.13, 14216,201, 73930,301
963, 35,0,0.13, 14394,185, 58860,266
975, 35,0.975,0.13, 14496,220, 71649,315
987, 35,2.25,0.13, 11129,153, 52208,226
940, 38.5,-2.25,0.13, 7683,92, 32411,132
